Country,Year,Yield
Afghanistan,2000,1789.555154464348
Afghanistan,2001,1792.0973075894708
Afghanistan,2002,1958.7117735033983
Afghanistan,2003,2226.6611489720544
Afghanistan,2004,1971.953610205894
Afghanistan,2005,2316.6960911811775
Afghanistan,2006,2473.4168721845317
Afghanistan,2007,2310.6711992861265
Afghanistan,2008,2303.866744505729
Afghanistan,2009,2701.786216688435
Afghanistan,2010,2654.215187488815
Afghanistan,2011,2606.9399093020625
Afghanistan,2012,2824.9335454170696
Afghanistan,2013,2749.6182584532344
Afghanistan,2014,2707.2309073389642
Afghanistan,2015,2867.8129068199764
Afghanistan,2016,2915.9637190091303
Afghanistan,2017,2892.65647108554
Afghanistan,2018,2696.606154832722
Afghanistan,2019,2943.5045622447924
Afghanistan,2020,2914.6413136864044
Afghanistan,2021,3293.4084794704722
Afghanistan,2022,2902.664028749842
Afghanistan,2023,3277.573611300082
India,2000,1733.0243286842417
India,2001,1837.1950627863348
India,2002,1825.3006628660273
India,2003,2217.4139061915143
India,2004,2111.1295399481573
India,2005,2285.932614280585
India,2006,2347.8665495651935
India,2007,2318.9647460586684
India,2008,2300.8053364270877
India,2009,2057.0269255871262
India,2010,2559.4015963631296
India,2011,2529.0361274157385
India,2012,2774.3286318069004
India,2013,2538.718286725938
India,2014,2734.156608698454
India,2015,2764.08943040651
India,2016,3007.002268887384
India,2017,2825.432253927452
India,2018,3095.3893741848656
India,2019,3036.1348982376526
India,2020,3392.9483590312943
India,2021,3071.2958117869425
India,2022,2964.494027308223
India,2023,3350.4159085241863
China,2000,2004.9473109291725
China,2001,1671.142517338314
China,2002,2477.4452162153602
China,2003,2054.254742845149
China,2004,1946.515716372484
China,2005,2258.4560397195028
China,2006,2357.361617796998
China,2007,2542.997240203547
China,2008,2429.0253311037172
China,2009,2367.034573237505
China,2010,2060.193662768195
China,2011,2727.27314333084
China,2012,2426.289058905779
China,2013,2503.702827060512
China,2014,2703.6803241759453
China,2015,2906.8704680811993
China,2016,2825.157061417506
China,2017,2753.29827078245
China,2018,2771.325933595887
China,2019,2929.1353250625853
China,2020,3104.4792716604925
China,2021,2805.9001444997166
China,2022,3323.8047382531204
China,2023,3102.115598089972
USA,2000,1580.6486528553867
USA,2001,1988.4527350500987
USA,2002,1921.081236967407
USA,2003,1903.9584531337703
USA,2004,2383.9949726010877
USA,2005,2333.501190396852
USA,2006,2208.1301598168266
USA,2007,2620.7506272221567
USA,2008,2676.181453168792
USA,2009,2555.3510805379333
USA,2010,2563.844525100393
USA,2011,2717.5921557585243
USA,2012,2797.345708072281
USA,2013,2720.086277732199
USA,2014,2461.1705084043256
USA,2015,2845.5838220143764
USA,2016,2825.985717047237
USA,2017,3157.6864177650077
USA,2018,3183.4343799204717
USA,2019,2889.2494282240336
USA,2020,2954.3815409780823
USA,2021,3025.6253286360884
USA,2022,2998.0572438044073
USA,2023,2853.9853393693998
France,2000,1889.2611295418465
France,2001,2015.934783965352
France,2002,1833.6627086345195
France,2003,1835.9249731273976
France,2004,2337.0636498348877
France,2005,2049.4846248685794
France,2006,2499.570279204073
France,2007,2526.0113928296087
France,2008,2374.0202977621075
France,2009,2626.1052306992947
France,2010,2178.553712090326
France,2011,2488.988661176246
France,2012,2336.159924752344
France,2013,2438.964921011131
France,2014,2905.060832052766
France,2015,2787.9060887293326
France,2016,2758.8037508902676
France,2017,2569.714187438103
France,2018,2962.588440519051
France,2019,2783.249578034385
France,2020,3174.357547322094
France,2021,2902.438192251119
France,2022,3090.3606658998115
France,2023,3031.17475103415
