Area Code,Area,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
2,Afghanistan,1022.0,973.5,831.7,951.0,972.3,866.6,1123.2,1156.2,1185.5,956.3,814.9,845.7,1173.9,1207.4,1212.8,1249.4,1130.9,1198.0,1231.7,1254.9,1235.0,1229.9,1258.0,1231.9,1227.7,1189.0,1284.9,1172.8,1118.0,1051.0,1021.3,1031.3,1021.1,1025.0,1089.5,1122.0,1276.4,1296.4,1232.9,724.0,897.7,1541.9,1500.0,1265.9,1821.5,1376.0,1818.3,1226.3,1966.6,1925.2,1517.9,2010.4,2024.8,2023.7,2195.9,1980.3,2034.2,2210.0,2095.1,1943.4,1963.1,2045.3,2146.7
3,Albania,773.1,1052.2,712.7,962.5,1134.4,1239.8,1355.0,1412.4,1638.9,1537.7,1873.5,1900.0,2009.7,2062.5,1937.5,2552.6,2450.0,2450.0,2490.0,2519.8,2532.1,2688.6,3087.9,3157.9,3140.6,2894.5,3103.1,3201.0,2930.2,3019.7,2069.8,2438.8,2997.6,2474.5,2870.3,2174.1,2851.6,2803.7,2495.4,3045.5,2822.0,3161.7,2862.9,3113.0,3158.2,3078.7,3549.6,4016.8,4022.9,3990.5,4230.1,4109.6,4129.2,4000.1,3951.1,3900.0,4036.7,3692.7,4068.0,4327.1,4130.5,4296.3,4053.9
4,Algeria,406.0,804.5,832.6,531.7,605.7,425.2,633.3,689.9,603.4,624.5,613.3,670.1,493.4,495.7,831.3,710.1,433.7,580.9,555.3,729.7,672.0,596.5,563.5,573.0,886.1,808.4,777.7,600.6,782.1,631.5,1080.9,993.9,809.7,799.9,892.4,1309.0,801.6,884.7,1071.1,919.4,1110.4,1073.9,1448.0,1358.2,1505.7,1506.8,1274.2,1103.8,1597.5,1483.8,1740.5,1763.9,1910.0,1475.3,1464.0,1183.3,1150.1,2043.3,1963.0,1681.1,1584.3,1666.7,1388.9
7,Angola,1111.1,1111.1,1111.1,928.6,1111.1,1100.0,1350.0,1350.0,943.0,854.6,913.0,1159.2,886.7,1306.5,1000.0,1000.0,769.2,588.2,533.3,583.3,631.6,625.0,625.0,625.0,625.0,800.0,800.0,800.0,800.0,799.5,800.0,800.0,886.2,1000.0,1186.5,1375.8,1552.9,1714.3,1739.1,1702.5,1666.7,1548.5,1387.9,1241.2,1086.0,1000.0,1000.0,1000.0,1000.0,1052.6,1095.9,1131.7,999.1,977.9,962.2,946.6,931.0,915.3,879.8,652.0,931.0,931.0,931.0
9,Argentina,1295.0,1522.2,1575.1,1835.3,1321.2,1198.2,1259.5,983.3,1352.3,1329.4,1266.7,1591.1,1657.4,1410.3,1626.0,1704.5,1361.2,1739.6,1693.4,1559.6,1401.4,2050.1,1840.5,2306.8,1617.7,1781.9,1884.7,1834.4,1894.7,1894.7,1897.2,2180.9,2327.2,2023.7,2167.5,1934.4,2242.6,2608.8,2302.8,2487.3,2493.4,2239.8,2036.1,2544.1,2635.6,2530.2,2623.4,2827.1,1962.8,2711.3,3506.3,3219.9,2658.1,2661.9,2810.0,2862.3,3304.7,3180.6,3216.0,2938.7,2759.5,3382.5,2287.6
10,Australia,1129.1,1253.3,1338.7,1384.1,997.0,1507.0,831.0,1365.0,1111.8,1217.9,1205.7,866.6,1339.6,1367.1,1400.6,1317.5,941.3,1765.1,1451.5,962.2,1376.5,770.5,1702.6,1545.5,1369.5,1447.6,1364.5,1578.7,1578.7,1634.4,1634.4,1469.8,1781.2,1965.8,1135.6,1789.9,2167.3,1841.2,1859.6,2006.6,1820.9,2107.6,907.0,1999.8,1634.8,2021.3,917.3,1078.8,1583.1,1572.9,2030.1,2151.1,1760.9,2006.1,1917.2,1974.3,2610.0,1917.8,1691.7,1468.1,2524.9,2847.0,3187.5
11,Austria,2580.2,2612.2,2509.9,2652.4,2396.9,2858.1,3304.9,3417.5,3317.2,2944.5,3557.7,3146.1,3526.8,4093.8,3506.3,4263.4,3758.8,4177.1,3145.7,4467.3,3737.0,4276.7,4530.0,4763.2,4886.2,4360.5,4528.4,5343.6,4901.5,5047.9,5073.5,5393.8,4224.6,5208.8,5085.6,5006.9,5204.4,5074.9,5434.8,4468.8,5241.2,4966.7,4380.1,5923.4,5028.6,4906.6,4776.3,5693.5,4929.5,5011.7,5854.9,4138.8,5374.3,5921.7,5696.2,6253.4,4871.2,4645.3,5737.2,5923.4,5529.9,5795.2,6187.7
16,Bangladesh,573.8,675.3,606.9,601.1,646.7,647.3,792.6,758.0,796.4,874.0,888.0,903.8,757.2,898.7,926.0,1453.5,1621.1,1841.9,1866.0,1899.0,1847.9,1811.4,2109.0,2302.1,2164.7,1928.2,1865.7,1754.2,1824.6,1503.4,1676.7,1853.4,1845.7,1839.0,1948.3,1953.1,2054.4,2240.8,2162.7,2210.4,2164.3,2164.4,2132.7,1952.7,1747.8,1534.4,1847.1,2175.3,2151.6,2395.9,2601.2,2778.9,3013.8,3031.9,3086.0,3031.0,3157.6,3130.2,3078.0,3097.0,3299.6,3450.0,3494.6
18,Bhutan,1020.4,1020.0,1019.6,1019.2,1018.9,1018.2,1017.5,1016.9,1016.4,1015.9,1015.4,1014.9,1014.5,1014.1,1013.7,1013.3,1000.0,1000.0,1000.0,1000.0,1094.1,1052.6,1100.0,1136.6,1000.0,916.7,800.0,639.6,638.6,769.2,833.3,909.1,1166.7,1250.0,1300.0,1416.7,1538.5,1538.5,1538.5,945.7,1000.0,1126.9,1423.9,1365.6,1275.4,1348.1,1292.1,1765.5,1437.1,2163.7,2668.6,2247.1,2339.2,2234.1,1901.6,1675.1,1823.7,1267.7,1313.0,1632.1,1262.4,1075.3,1145.6
19,Bolivia (Plurinational State of),562.5,500.0,518.9,522.9,873.0,550.0,600.0,600.0,695.4,700.0,786.2,833.3,827.8,848.9,803.4,863.9,653.0,645.6,690.9,599.2,694.3,684.5,604.5,793.6,741.5,764.2,807.9,767.0,696.2,648.0,933.9,808.8,1032.0,751.9,974.6,749.0,1064.1,904.2,867.7,849.2,989.0,885.0,987.8,1066.5,1074.1,1111.3,921.0,1293.1,1286.2,1392.0,973.1,918.6,1116.7,1065.2,1720.8,1433.4,884.8,1511.7,1199.3,1522.0,1675.2,1445.5,1267.2
20,Botswana,2500.0,2500.0,2500.0,2500.0,2500.0,2368.4,2368.4,2384.2,2236.7,1894.7,2500.0,2500.0,2068.0,2037.0,2037.0,2111.1,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2617.8,2226.8,2147.4,2068.1,1988.7,1909.3,1892.9,1721.8,1666.7,1632.3,1586.2,1571.4,1454.9,1366.5,1268.6,1161.2,1045.6,900.0,800.0,853.19,906.38,959.57,1012.76,1065.95,1119.14,1172.3300000000002,1225.52,1278.71,1331.9,608.1,1361.5,1502.3,2200.0,1007.5
21,Brazil,533.0,949.1,494.5,876.5,763.6,857.3,757.4,882.5,976.2,973.1,886.5,423.7,1104.4,1156.8,610.0,908.4,655.2,957.2,764.1,865.3,1150.8,646.0,1190.3,1138.7,1614.0,1446.6,1765.4,1652.8,1692.5,1154.0,1423.2,1429.5,1482.5,1554.1,1542.0,1833.4,1635.9,1611.1,1969.9,1515.6,1948.8,1475.4,2403.5,2072.8,1973.5,1592.7,2219.9,2549.7,2080.2,2828.8,2660.2,2310.0,2749.1,2208.8,2227.8,3155.1,2279.0,2629.2,2657.8,2607.9,2862.1,3265.8,2321.2
27,Bulgaria,1541.6,1666.9,1592.0,1773.6,2548.6,2795.9,3058.0,2404.8,2472.5,2990.3,3054.2,3727.9,3488.6,3356.3,3285.2,3824.0,3717.7,3708.0,3503.4,3975.0,4303.5,4636.8,3199.3,4293.1,2874.9,3839.9,3822.1,4014.4,4766.1,4551.4,3748.0,3107.1,2858.0,2844.7,2908.5,1881.8,2950.2,2805.8,2735.2,2842.1,3008.1,3012.3,2382.8,3810.0,3156.7,3402.6,2197.3,4167.4,3187.3,3618.5,3919.7,3759.6,4188.5,4217.2,4531.6,4748.3,5358.3,4912.9,5272.2,4039.3,6087.8,5343.8,5614.5
29,Burundi,444.4,714.3,698.1,649.1,672.1,677.4,688.5,784.0,546.1,580.5,615.7,541.1,706.9,521.2,646.6,762.4,800.0,548.4,766.7,665.6,630.5,600.0,600.0,888.9,482.0,1083.3,1108.1,737.8,817.7,747.8,733.3,712.0,778.7,882.4,744.0,775.5,777.4,814.8,708.5,677.4,866.7,829.0,789.5,832.6,738.7,800.7,840.7,843.1,858.3,731.7,697.3,444.8,727.6,576.3,683.3,386.1,398.2,1409.2,640.2,715.0,722.9,734.0,732.1
33,Canada,752.9,1418.3,1765.1,1360.4,1543.2,1873.9,1323.9,1485.5,1808.4,1786.4,1835.1,1679.9,1687.6,1488.4,1802.0,2096.3,1963.2,1998.7,1634.1,1721.2,1995.9,2133.6,1934.5,1609.9,1766.5,2205.2,1927.9,1229.3,1807.6,2276.9,2255.9,2160.3,2202.7,2127.5,2246.7,2430.4,2128.5,2255.0,2597.1,2444.6,1945.2,1832.4,2256.5,2640.9,2738.1,2609.6,2331.7,2857.5,2789.7,2808.5,2956.8,2874.3,3598.0,3081.8,2892.5,3580.5,3381.5,3274.2,3383.4,3537.4,2437.5,3405.6,2991.3
39,Chad,1111.1,1272.7,1500.0,1459.5,1793.0,1706.6,2222.2,1145.8,1571.4,1568.2,1556.5,1732.8,2333.3,3600.0,3571.4,1904.8,1333.3,1666.7,2000.0,2000.0,1866.7,1633.3,909.1,600.3,1191.0,743.3,1000.0,1065.2,1500.0,1500.0,1382.2,2120.1,2136.3,2229.7,999.6,2249.6,3000.0,2022.6,1434.0,1433.6,1493.3,2000.0,1445.0,1472.5,1500.0,1000.0,1865.1,1800.0,2000.0,2500.7,492.3,2500.0,2642.1,1300.6,1400.6,2000.0,1968.4,2244.0,1871.2,1809.6,1922.5,1865.3,1929.7
