Area,mean_yield,std,cv,slope,cluster
Afghanistan,1360.7333333333338,417.2570024925073,0.30664127369494915,18.354891513056863,2
Albania,2805.4412698412707,983.4354339688285,0.35054572146665197,49.54760464669742,0
Algeria,1003.1904761904764,440.87978601233885,0.43947764305592224,20.82344950076807,2
Angola,1013.742857142857,291.167148932553,0.2872199265138907,1.4168010752688258,2
Argentina,2116.7063492063494,627.1792939289617,0.29629962331058346,30.786194316436287,0
Australia,1595.273015873016,483.2675450167994,0.3029372027284811,17.635483870967768,2
Austria,4532.931746031747,1026.0244015247988,0.22634896332224916,48.58132200460835,3
Bangladesh,1895.8571428571431,813.0731048182579,0.4288683395168265,40.88500864055304,0
Bhutan,1248.2079365079364,417.3308180690583,0.3343439869775294,13.816527457757312,2
Bolivia (Plurinational State of),913.5158730158729,292.0380997052739,0.31968585147967055,13.194690860215072,2
Botswana,1772.0087301587305,534.6523565062781,0.3017210623213949,-24.49540370583719,2
Brazil,1601.9428571428575,738.17349514873,0.46079889295508214,37.15675403225811,0
Bulgaria,3514.350793650793,1001.8577092763506,0.2850761828006351,32.356115591397874,0
Burundi,719.479365079365,162.4481983525132,0.22578576431388508,1.656662826420891,2
Canada,2237.5460317460315,645.0876874191644,0.28830141515157165,31.079569892473145,0
Chad,1731.5682539682543,595.4472937389972,0.3438774604318392,2.9863143241167425,2
Chile,3397.2412698412695,1676.6376645743496,0.4935291701118089,88.28033314132114,1
"China, mainland",3244.319047619048,1618.04971192992,0.4987332282000378,87.77095814132113,1
"China, Taiwan Province of",2734.4539682539685,809.1519971302088,0.29590989884056335,15.365149769585273,0
Colombia,1656.125396825397,477.2392789205411,0.2881661496377957,20.595290898617534,2
Cyprus,1661.1920634920634,715.3371867465353,0.4306167856610115,22.83341013824886,0
Democratic Peoples Republic of Korea,1383.9857142857147,573.1996501971848,0.4141658720032507,18.862207181259613,2
Democratic Republic of the Congo,1021.0777777777779,289.9231424541096,0.2839383529480817,10.704761904761918,2
Denmark,6308.947619047621,1311.399368669768,0.20786341048552448,63.3559139784947,3
Ecuador,937.1444444444443,321.52372800502746,0.3430887627954006,5.199457565284191,2
Egypt,4847.693650793652,1596.6251568768232,0.3293576846827827,83.42164938556078,3
Eswatini,2325.838095238096,781.2133227372149,0.33588465350905783,-28.108957373271906,2
Finland,3062.7999999999997,771.3357235258178,0.25184005600294435,33.88131720430111,0
France,5760.352380952379,1533.031849074408,0.26613508127448043,74.17540322580652,3
Germany,6021.86031746032,1602.051322477376,0.26603926992996585,81.45790130568365,3
Greece,2401.8222222222216,466.0520424506275,0.19404102357726766,18.326017665130593,2
Guatemala,1794.4079365079367,504.61925100454,0.28121768787234075,22.27041570660524,2
Honduras,650.1761904761906,139.84121723178174,0.21508203357825467,-6.44749903993856,2
Hungary,3991.349206349205,1096.4283848865114,0.27470119205364874,41.700504032258095,0
India,2172.931746031746,837.5624473252624,0.3854527179028226,45.1194940476191,0
Iran (Islamic Republic of),1424.5206349206348,545.3194678229332,0.38280910395749723,26.950753648233523,2
Iraq,1262.2682539682537,791.1948554550357,0.6268040513319718,33.51553379416287,0
Ireland,7017.280952380953,2273.264969360514,0.32395239477894905,114.01754992319519,3
Israel,2041.0873015873021,676.1565039993816,0.33127270130657893,5.454646697388609,2
Italy,3075.052380952381,652.0681232611144,0.21205106205675786,33.14346198156686,0
Japan,3398.4238095238093,732.8480233934625,0.2156435054803097,33.68904089861756,0
Jordan,1073.7190476190474,523.104147669234,0.48718903593003027,20.662509600614463,2
Kenya,1916.9126984126985,561.793393744982,0.29307197673121765,21.579291474654397,2
Lebanon,2003.9015873015874,882.0022766213146,0.44014251109456964,43.736443932411724,0
Lesotho,777.1095238095237,358.9989301423027,0.4619669675162757,1.0326852918586824,2
Libya,652.6984126984127,257.003570009134,0.3937554696151616,9.785099846390178,2
Malawi,1280.4539682539682,614.1262271283503,0.47961601303463886,-14.98345334101384,2
Mali,2271.5079365079364,1488.898721430686,0.655467100731164,60.03238767281114,1
Malta,3527.6952380952393,1244.8579648774776,0.35288138029452687,62.35873175883265,0
Mauritania,1245.4126984126983,683.1766135634479,0.5485543984208361,35.80030241935488,0
Mexico,4187.038095238095,1074.8127187844536,0.2567000094904402,55.5653225806452,3
Mongolia,971.5587301587302,336.0003176049386,0.3458363423382999,8.650820852534563,2
Morocco,1272.7380952380952,534.2851469045017,0.4197919029087845,16.989520929339495,2
Mozambique,1102.379365079365,266.4984458943551,0.2417483983611837,4.249822388632869,2
Myanmar,1168.795238095238,490.9667107920768,0.4200622100344928,22.448310291858704,2
Namibia,3923.669841269842,1819.99481598295,0.4638501427515455,90.15201612903233,1
Nepal,1685.2111111111112,609.322960371462,0.3615706995723027,30.303153801843358,0
Netherlands (Kingdom of the),7164.376190476192,1700.8422211357986,0.237402695770886,83.80060003840254,3
New Caledonia,1761.3650793650788,734.9288290289334,0.41724957400305335,-26.41038306451614,2
New Zealand,5687.298412698413,2313.5925634202686,0.4067999242407529,120.42363191244254,1
Niger,1798.5841269841271,708.8211067377205,0.39409950088143747,27.27972350230418,0
Nigeria,1689.64126984127,483.6821482413774,0.2862632186338677,-7.022955069124432,2
Norway,4010.6999999999994,847.9405961010057,0.21141960159099554,25.875244815668232,0
Oman,2392.495238095238,1057.9922048966712,0.4422128780239418,42.49313556067594,0
Pakistan,1935.8904761904766,700.9208806103411,0.3620663923041976,37.882195660522314,0
Paraguay,1635.5650793650796,611.3341069936994,0.3737754704514828,27.816066628264238,0
Peru,1220.0158730158732,255.38476803439866,0.20932905356640055,12.785133448540726,2
Poland,3473.996825396825,879.764535390973,0.2532427574370279,44.43238287250389,0
Portugal,1453.3714285714282,547.0382856297175,0.37639262398836437,20.674654377880206,2
Qatar,2092.962698412699,507.0594964906099,0.2422687689919956,18.207366071428595,2
Republic of Korea,3064.9507936507916,747.2239649730228,0.24379639846777865,30.92785618279575,0
Romania,2723.452380952381,893.9623090231025,0.32824598486663725,36.48726478494628,0
Rwanda,892.6841269841268,151.9663833861538,0.17023533721783762,4.133016513056844,2
Saudi Arabia,4018.039682539682,1829.6377610406123,0.4553558216438901,96.68057795698935,1
Somalia,235.79206349206342,186.74320413561134,0.7919825687512887,8.812403993855614,2
South Africa,1921.0365079365083,1118.7268543363994,0.5823558530587666,57.891369047619115,1
Spain,2273.0746031746035,864.1771433861518,0.380179841954695,40.13578629032263,0
Sudan (former),1580.3936507936498,519.4614167649263,0.32869115647488245,13.502337749616006,2
Sweden,5296.6936507936525,1100.7716664104055,0.20782241507312146,50.33377976190479,3
Switzerland,5108.692063492064,1015.1641423453341,0.19871312064391977,42.06345526113674,3
Syrian Arab Republic,1613.0984126984124,710.1252980062093,0.44022441062247547,26.397388632872524,0
Tunisia,1307.3507936507938,479.1445673391803,0.3665003835742991,22.08887768817207,2
Türkiye,2010.231746031746,565.9201573188619,0.2815198588103109,29.511088709677452,0
Uganda,1929.5190476190476,366.3243727667452,0.18985268542374611,-15.416685867895545,2
United Kingdom of Great Britain and Northern Ireland,6502.884126984127,1633.5244911822933,0.2511999997668543,80.59582853302618,3
United Republic of Tanzania,1376.922222222222,463.32481550149913,0.33649309163863794,2.0073636712749567,2
United States of America,2528.3444444444444,492.8522044306857,0.19493079968341914,25.3157642089094,2
Uruguay,2050.785714285714,1049.9574319876856,0.5119781285161645,51.05719566052234,0
Venezuela (Bolivarian Republic of),1431.8857142857144,1201.1833024492762,0.8388821052303589,56.07939228110607,1
Yemen,1405.1857142857139,318.29616552226184,0.22651537251363152,11.70202572964672,2
Zambia,4656.0888888888885,2098.915665836507,0.4507894320585843,104.46636424731193,1
Zimbabwe,4036.2206349206344,1365.069028522678,0.33820475935144706,3.291844278033749,0
